,contact_id,since_date,order_number,plan,transaction_date,section_name,row_name,first_seat,last_seat,num_seats,FSE,plan_base_price,pricecode,section_listing,eventcode,tickettypesid,sales_rep,9%
6001,11418469,9/15/2021,1999186-1,Full Season,4/28/2022,109,R,5,5,1,1.0,2436,KFRU,Lower Level North,FS22,Renewed Full Season,Sebastian Aho,2655.2400000000002
6002,13968012,3/7/2022,1999192-1,Full Season,4/28/2022,112,V,7,8,2,2.0,3696,KPN,Lower Level North,FS22,New PH Full Season,Sebastian Aho,4028.6400000000003
6003,16072845,3/11/2022,1999194-1,Full Season,4/28/2022,310,G,1,2,2,2.0,1764,ZFN,FanZone,FS22,New Full Season,Paul Stastny,1922.7600000000002
6004,9915592,3/7/2022,1999195-1,Full Season,4/28/2022,109,R,6,7,2,2.0,4872,KFN,Lower Level North,FS22,New Full Season,Domenik Bokk,5310.4800000000005
6005,16331254,3/11/2022,1999197-1,Full Season,4/28/2022,315,G,9,10,2,2.0,1764,ZFN,FanZone,FS22,New Full Season,Jesperi Kotkaniemi,1922.7600000000002
6006,16351416,3/10/2022,1999198-1,Full Season,4/28/2022,113,V,8,9,2,2.0,3696,KPN,Lower Level North,FS22,New PH Full Season,Brady Skjei,4028.6400000000003
6007,15672296,3/11/2022,1999201-1,Full Season,4/28/2022,315,D,1,1,1,1.0,882,ZFN,FanZone,FS22,New Full Season,Paul Stastny,961.3800000000001
6008,6159004,3/10/2022,1999202-1,Full Season,4/28/2022,109,V,15,16,2,2.0,3696,KPN,Lower Level North,FS22,New PH Full Season,Jimmy Butler,4028.6400000000003
6009,11055507,3/8/2022,1999204-1,Full Season,4/28/2022,119,N,6,7,2,2.0,10500,CFN,Center Ice Preferred,FS22,New Full Season,Wayne Gretzky,11445.0
6010,16052814,3/8/2022,1999206-1,Full Season,4/28/2022,109,S,5,6,2,2.0,3696,KPN,Lower Level North,FS22,New PH Full Season,Jordan Martinook,4028.6400000000003
6011,15421781,3/10/2022,1999213-1,Full Season,4/28/2022,305,D,11,14,4,4.0,7392,WFN,Terrace Preferred,FS22,New Full Season,Paul Stastny,8057.280000000001
6012,10288385,3/6/2022,1999214-1,Full Season,4/28/2022,115,Y,9,12,4,4.0,7392,KPN,Lower Level North,FS22,New PH Full Season,Stefan Noesen,8057.280000000001
6013,11271347,3/7/2022,1999216-1,Full Season,4/28/2022,308,C,1,3,3,3.0,2646,ZFN,FanZone,FS22,New Full Season,Shayne Gostisbehere,2884.1400000000003
6014,10118019,3/16/2022,1999226-1,Full Season,4/28/2022,106,S,1,2,2,2.0,8400,FFN,Sideline Preferred,FS22,New Full Season,Jimmy Butler,9156.0
6015,7753208,3/8/2022,1999244-1,Full Season,4/28/2022,315,E,1,2,2,2.0,1764,ZFN,FanZone,FS22,New Full Season,Andrei Svechnikov,1922.7600000000002
6016,1360449,3/24/2022,1999253-1,Full Season,4/28/2022,314,G,1,2,2,2.0,1764,ZFN,FanZone,FS22,New Full Season,Brett Pesce,1922.7600000000002
6017,12395480,3/14/2022,1999255-1,Full Season,4/28/2022,304,C,15,16,2,2.0,4032,VFN,Center Ice Terrace,FS22,New Full Season,Paul Stastny,4394.88
6018,16279527,3/14/2022,1999257-1,Full Season,4/28/2022,218,A,1,4,4,4.0,11256,SPN,Club Select,FS22,New PH Full Season,Jimmy Butler,12269.04
6019,16426299,3/18/2022,1999258-1,Full Season,4/28/2022,304,D,1,2,2,2.0,4032,VFN,Center Ice Terrace,FS22,New Full Season,Brent Burns,4394.88
6020,16417165,3/17/2022,1999259-1,Full Season,4/28/2022,324,D,20,21,2,2.0,4032,VFN,Center Ice Terrace,FS22,New Full Season,Stefan Noesen,4394.88
6021,16416930,3/17/2022,1999261-1,Full Season,4/28/2022,304,D,22,23,2,2.0,4032,VFN,Center Ice Terrace,FS22,New Full Season,Domenik Bokk,4394.88
6022,14028726,3/17/2022,1999262-1,Full Season,4/28/2022,118,B,7,10,4,4.0,21000,BFN,Row 2,FS22,New Full Season,Paul Stastny,24360.0
6023,13659582,3/29/2022,1999266-1,Full Season,4/28/2022,310,E,8,9,2,2.0,1764,ZFN,FanZone,FS22,New Full Season,Brady Skjei,1922.7600000000002
6024,4258623,3/17/2022,1999269-1,Full Season,4/28/2022,222,B,3,4,2,2.0,5628,SPN,Club Select,FS22,New PH Full Season,Stefan Noesen,6134.52
